Question,Reponse,Skill,Level
Comment faire une jointure en SQL ?,"En SQL une jointure combine des lignes de deux tables ou plus basées sur une condition commune entre elles Les types de jointures incluent INNER JOIN LEFT JOIN etc.",SQL,Moyen
Qu'est-ce que NoSQL?,NoSQL est une approche de conception de bases de données qui ne suit pas les modèles de base de données relationnelles traditionnels.,NoSQL,Intermédiaire
Qu'est-ce que MongoDB et pour quoi est-il utilisé ?,"MongoDB est une base de données NoSQL orientée documents utilisée pour stocker des données semi-structurées sous forme de documents JSON.",MongoDB,Facile
Comment effectuer des requêtes en MongoDB ?,"En MongoDB les requêtes se font en utilisant des méthodes comme find() qui permet de rechercher des documents dans une collection.",MongoDB,Moyen
Qu'est-ce que PostgreSQL?,PostgreSQL est un système de gestion de base de données relationnelle open source et un SGBD.,PostgreSQL,Avancé
Qu'est-ce que Flask et comment l'installer ?,"Flask est un framework web léger pour Python. Vous pouvez l'installer en utilisant pip la commande 'pip install Flask' Une fois installé vous pouvez créer une application Flask en important la classe Flask et définir des routes pour gérer les requêtes HTTP.",Flask,Difficile
Comment créer un projet Spring Boot à l'aide de Spring Initializr ?,"Vous pouvez créer un projet Spring Boot en utilisant Spring Initializr un outil en ligne fourni par Spring Vous spécifiez les dépendances et les paramètres de votre projet puis vous téléchargez le projet généré qui est prêt à être importé dans votre IDE.",SpringBoot,Difficile
Quelle est la différence entre Spring Boot et Spring MVC ?,"Spring Boot est un framework qui simplifie le démarrage et le développement d'applications Spring tandis que Spring MVC est un sous-projet de Spring Framework qui fournit un modèle MVC (Modèle-Vue-Contrôleur) pour la création d'applications web Java Spring Boot peut être utilisé avec Spring MVC pour créer des applications web.",SpringBoot,Difficile
Qu'est-ce que Laravel?,Laravel est un framework PHP open source pour le développement web basé sur le modèle MVC (Modèle-Vue-Contrôleur).,Laravel,Intermédiaire
Qu'est-ce que Ruby on Rails?,"Ruby on Rails, souvent abrégé Rails, est un framework de développement d'applications web open source écrit en Ruby.",Ruby on Rails,Avancé
Qu'est-ce que ASP.NET?,ASP.NET est un framework web développé par Microsoft pour la construction d'applications web dynamiques.,ASP.NET,Intermédiaire
Qu'est-ce que Next.js?,Next.js est un framework JavaScript open source pour le développement d'applications web basées sur React.,Next.js,Intermédiaire
Qu'est-ce que Nuxt.js?,Nuxt.js est un framework JavaScript open source pour le développement d'applications web basées sur Vue.js.,Nuxt.js,Débutant
Qu'est-ce que Svelte?,Svelte est un framework JavaScript open source pour la construction d'interfaces utilisateur réactives.,Svelte,Intermédiaire
Qu'est-ce que GraphQL?,GraphQL est un langage de requête pour les API et un runtime pour exécuter ces requêtes avec vos données existantes.,GraphQL,Avancé
Qu'est-ce que Docker?,"Docker est une plateforme open source permettant de créer, de déployer et de gérer des conteneurs d'applications.",Docker,Intermédiaire
Qu'est-ce que Kubernetes?,"Kubernetes est une plateforme open source permettant d'automatiser le déploiement, la mise à l'échelle et la gestion des applications conteneurisées.",Kubernetes,Avancé
Quelle est la différence entre la programmation orientée objet et la programmation procédurale ?,"La programmation orientée objet (POO) organise le code autour des objets et de leurs interactions, tandis que la programmation procédurale se concentre sur les procédures ou les fonctions.",Python,Moyen
Qu'est-ce que le langage de programmation Python et quels sont ses avantages ?,"Python est un langage de programmation interprété, multi-paradigme, orienté objet et de haut niveau. Ses avantages incluent la lisibilité du code, la syntaxe simple, une vaste bibliothèque standard et une grande communauté de développeurs.",Python,Moyen
Comment gérer les dépendances en Python ?,"En Python, les dépendances peuvent être gérées à l'aide de gestionnaires de paquets comme pip et des fichiers requirements.txt.",Python,Difficile
Qu'est-ce que le DOM en JavaScript ?,Le DOM (Document Object Model) est une interface de programmation pour les documents HTML et XML. Il représente la structure de la page pour que les langages de script puissent interagir avec elle.,JavaScript,Facile
Comment fonctionne l'asynchrone en JavaScript ?,"L'asynchronisme en JavaScript est principalement géré via les callbacks, les promesses (Promises) et async/await.",JavaScript,Difficile
Qu'est-ce que la JVM en Java ?,La JVM (Java Virtual Machine) est une machine virtuelle qui permet l'exécution de bytecode Java sur n'importe quelle plateforme.,Java,Facile
Comment fonctionne la gestion de la mémoire en Java ?,"Java utilise un garbage collector pour gérer la mémoire automatiquement, libérant la mémoire utilisée par les objets qui ne sont plus référencés.",Java,Moyen
Qu'est-ce que le JIT en Java ?,Le Just-In-Time (JIT) compiler est une partie de la JVM qui compile le bytecode en code machine pour améliorer les performances.,Java,Difficile
Qu'est-ce que le Common Language Runtime (CLR) en C# ?,Le Common Language Runtime (CLR) est la machine virtuelle de .NET qui gère l'exécution des programmes écrits en différents langages .NET.,C#,Moyen
Comment fonctionnent les delegates en C# ?,Les delegates en C# sont des types qui représentent des références à des méthodes avec une signature et un type de retour particuliers.,C#,Difficile
Qu'est-ce que LINQ en C# ?,LINQ (Language Integrated Query) est une syntaxe de requête intégrée dans C# pour interroger les collections de données.,C#,Facile
Qu'est-ce que TypeScript et quels sont ses avantages ?,TypeScript est un sur-ensemble typé de JavaScript qui compile en JavaScript. Ses avantages incluent une meilleure vérification des types et la maintenance du code.,TypeScript,Facile
Comment configurer un projet TypeScript ?,"Pour configurer un projet TypeScript, vous devez créer un fichier tsconfig.json et utiliser tsc, le compilateur TypeScript.",TypeScript,Moyen
Qu'est-ce que le type any en TypeScript ?,"Le type 'any' en TypeScript permet de désactiver la vérification de type pour une variable, acceptant n'importe quel type de valeur.",TypeScript,Difficile
Qu'est-ce que Kotlin et pourquoi l'utiliser ?,"Kotlin est un langage de programmation moderne qui fonctionne sur la JVM. Il est concis, sécurisé par conception et interopérable avec Java.",Kotlin,Moyen
Quelles sont les différentes façons d'ajouter du CSS à une page HTML ?,"Vous pouvez ajouter du CSS à une page HTML de différentes manières notamment en utilisant des balises <style> dans la section <head> en incluant des fichiers CSS externes avec la balise <link> ou en utilisant des attributs d'éléments HTML tels que 'style' pour ajouter des styles en ligne.",CSS,Difficile
Comment pouvez-vous centrer un élément horizontalement en CSS ?,"Utilisez la propriété CSS margin avec les valeurs auto pour les marges gauche et droite et définissez une largeur pour l'élément.",CSS,Difficile
Qu'est-ce que NoSQL et quels sont ses avantages ?,"NoSQL est une catégorie de systèmes de gestion de bases de données non relationnelles offrant une flexibilité de modélisation des données et une évolutivité horizontale.",NoSQL,Moyen
Quels sont les types de bases de données NoSQL ?,"Les types de bases de données NoSQL incluent les bases de données clé-valeur documentaires en colonnes et orientées graphes.",NoSQL,Facile
Qu'est-ce que le sous-apprentissage et le sur-apprentissage dans le contexte de l'apprentissage machine ?,"Le sous-apprentissage se caractérise par une faible performance à la fois sur les données d'entraînement et de test indiquant une erreur élevée et une faible précision En revanche le sur-apprentissage",IA,Moyen
Quelles sont les principales différences entre la régression et la classification en termes de types de sortie et d'applications ?,"le modèle prédit des valeurs continues, telles que les prix ou les températures, tandis que dans la classification, il prédit des classes discrètes ou des catégories",IA,Moyen